Дата,Пользователь,Страниц,Копий,Принтер,Документ,Компьютер,Формат листа,Драйвер,Высота,Ширина,Двусторонняя печать,Черно-белый,Размер файла
2026-04-07 15:26:53,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00701,A4,PCL6,,,DUPLEX,GRAYSCALE,278kb,
2026-04-07 15:26:58,stanislav.ashikhmin,1,1,HP LaserJet Professional M1212nf MFP,"Microsoft Word - СЗ Адушкину (директору по экс-ции)",EKA-WS-GHM00221,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,51kb,
2026-04-07 15:27:05,A.Novoselov,2,1,Kyocera ECOSYS M2040dn KX,"2062430 Производственный график доработанный 07 04.xlsx",EKA-NB-UXM00064,A4,PCL6,,,DUPLEX,GRAYSCALE,88kb,
2026-04-07 15:27:06,natalya.chebonenko,1,1,Kyocera ECOSYS M2040dn KX,"00123.pdf",EKA-WS-UXM00886,A4,EMF,,,DUPLEX,GRAYSCALE,23608kb,
2026-04-07 15:27:27,ekaterina.safina,1,1,HP LaserJet Professional P1102,"KOMPAS - К0765.05.00.002.cdw",EKA-WS-UXM00331,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,431kb,
2026-04-07 15:27:36,valentina.sorokina,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00702,A4,EMF,,,DUPLEX,GRAYSCALE,13kb,
2026-04-07 15:27:45,valentina.sorokina,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00702,A4,EMF,,,DUPLEX,GRAYSCALE,12kb,
2026-04-07 15:27:53,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00701,A4,EMF,,,DUPLEX,GRAYSCALE,12kb,
2026-04-07 15:27:54,ekaterina.safina,1,1,HP LaserJet Professional P1102,"KOMPAS - К0765.07.00.002.cdw",EKA-WS-UXM00331,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,438kb,
2026-04-07 15:28:20,e.usmanova,2,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00701,A4,PCL6,,,DUPLEX,GRAYSCALE,294kb,
2026-04-07 15:28:25,stanislav.ashikhmin,1,1,HP LaserJet Professional M1212nf MFP,"Microsoft Word - СЗ Адушкину (директору по экс-ции)",EKA-WS-GHM00221,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,52kb,
2026-04-07 15:28:43,tatyana.zhernakova,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Outlook - Заметка",EKA-WS-UXM00620,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,555kb,
2026-04-07 15:28:55,lyubov.chernysheva,1,1,Kyocera ECOSYS M8130cidn KX,"Матрица аттестаций производство РСС 2026.xlsx",EKA-WS-UXM00180,A3,EMF,,,NOT DUPLEX,NOT GRAYSCALE,265kb,
2026-04-07 15:29:06,evgeniy.khalezin,4,1,Microsoft Print to PDF,"Табличный документ",EKA-WS-UXM00201,,XPS,297mm,210mm,NOT DUPLEX,NOT GRAYSCALE,221kb,
2026-04-07 15:29:12,ekaterina.safina,1,1,HP LaserJet Professional P1102,"document",EKA-WS-UXM00331,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,359kb,
2026-04-07 15:29:17,valentina.sorokina,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00702,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,290kb,
2026-04-07 15:29:22,larisa.marakulina,2,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - К0697.00.00.024 шпилька к-т 4-12 по ООН",EKA-WS-UXM00650,A4,PCL6,,,DUPLEX,GRAYSCALE,255kb,
2026-04-07 15:29:25,natalya.chebonenko,4,1,Kyocera ECOSYS M2040dn KX,"Декларация ТР ТС.pdf",EKA-WS-UXM00886,A4,EMF,,,DUPLEX,GRAYSCALE,3311kb,
2026-04-07 15:29:33,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00701,A4,EMF,,,DUPLEX,GRAYSCALE,11kb,
2026-04-07 15:29:46,valentina.sorokina,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00702,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,287kb,
2026-04-07 15:29:47,olga.tatsenko,1,1,HP LaserJet Pro M428-M429 PCL-6 (V4) (сеть),"Табличный документ",EKA-WS-UXM00423,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,208kb,
2026-04-07 15:29:52,a.kuvshinov,1,1,HP LaserJet Pro M428-M429,"KOMPAS - К0711.01.09.300.cdw",EKA-WS-UXM00600,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,50kb,
2026-04-07 15:29:57,natalya.selukova,1,1,HP LaserJet MFP M437-M443 PCL6 (копия 4),"Microsoft Word - УХМ К0748.02 (205511209) _Лист отклонений_к.1-3",EKA-WS-GHM00177,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,117kb,
2026-04-07 15:30:00,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00701,A4,PCL6,,,DUPLEX,GRAYSCALE,246kb,
2026-04-07 15:30:05,a.kuvshinov,1,1,HP LaserJet Pro M428-M429,"document",EKA-WS-UXM00600,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,246kb,
2026-04-07 15:30:05,v.patrushev,4,1,HP LaserJet Pro M428-M429 PCL-6 (V4) (сеть),"document",EKA-WS-UXM00222,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,852kb,
2026-04-07 15:30:34,valentina.sorokina,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00702,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,288kb,
2026-04-07 15:30:39,tatyana.bebenina,1,1,Kyocera ECOSYS M2040dn KX,"ГСО УГ7и LAB 07.04.2026.xlsx",EKA-WS-UXM00048,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,44kb,
2026-04-07 15:30:51,tatyana.zhernakova,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00620,,XPS,279mm,216mm,NOT DUPLEX,GRAYSCALE,209kb,
2026-04-07 15:31:13,s.petukhova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Табличный документ",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,95kb,
2026-04-07 15:31:24,i.permyakova,2,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Письменные объяснения ООО Газпром инвест по делу А56-119244_2025 на 4 л (штамп).pdf",EKA-WS-UXM00374,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,10561kb,
2026-04-07 15:31:36,ao.volkov,1,1,HP LaserJet Professional P1102,"Счет на оплату № 3488 от 07.04.2026 (2).pdf",EKA-WS-GHM00178,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,5613kb,
2026-04-07 15:31:49,amarkin,1,1,Kyocera ECOSYS M4125idn KX,"KOMPAS - К0780.01.00.000 СБ изм.1.cdw",EKA-WS-UXM00390,A3,PCL6,,,DUPLEX,GRAYSCALE,149kb,
2026-04-07 15:31:54,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00701,A4,EMF,,,DUPLEX,GRAYSCALE,23kb,
2026-04-07 15:31:54,irina.kadushkina,1,1,Kyocera ECOSYS M4125idn KX,"KOMPAS - 087-09972 СБ.cdw",EKA-WS-UXM00239,A3,PCL6,,,NOT DUPLEX,GRAYSCALE,79kb,
2026-04-07 15:31:58,anna.glebova,2,1,Kyocera ECOSYS M2040dn KX (1),"Табличный документ",EKA-WS-UXM00294,A4,EMF,,,NOT DUPLEX,GRAYSCALE,143kb,
2026-04-07 15:32:00,irina.kadushkina,1,1,Kyocera ECOSYS M4125idn KX,"KOMPAS - 087-09971 СБ.cdw",EKA-WS-UXM00239,A3,PCL6,,,NOT DUPLEX,GRAYSCALE,84kb,
2026-04-07 15:32:05,s.petukhova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Табличный документ",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,93kb,
2026-04-07 15:32:11,irina.kadushkina,1,1,Kyocera ECOSYS M4125idn KX,"KOMPAS - 087-09971-1.cdw",EKA-WS-UXM00239,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,50kb,
2026-04-07 15:32:13,tatyana.zhernakova,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00620,,XPS,279mm,216mm,NOT DUPLEX,GRAYSCALE,209kb,
2026-04-07 15:32:19,irina.kadushkina,1,1,Kyocera ECOSYS M4125idn KX,"document",EKA-WS-UXM00239,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,63kb,
2026-04-07 15:32:20,mariya.sergach,1,1,HP LaserJet MFP M430-431 PCL-6 (Временный),"Исходящее письмо Тюмень Начальник филиала.pdf (виз) (штамп).pdf",EKA-WS-UXM00200,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,420kb,
2026-04-07 15:32:21,natalya.selukova,10,1,HP LaserJet MFP M437-M443 PCL6 (копия 4),"Microsoft Word - УХМ К0748.02 (205511209) _Лист отклонений_к.1-3",EKA-WS-GHM00177,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,443kb,
2026-04-07 15:32:27,irina.kadushkina,1,1,Kyocera ECOSYS M4125idn KX,"document",EKA-WS-UXM00239,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,63kb,
2026-04-07 15:32:33,darya.kalinina,1,1,Kyocera ECOSYS M8130cidn KX,"Договор поставки № 73-760_26 от 30.03.206 стр1-28.pdf",EKA-WS-UXM00355,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,2178kb,
2026-04-07 15:32:37,anna.glebova,2,1,Kyocera ECOSYS M2040dn KX (1),"Табличный документ",EKA-WS-UXM00294,A4,EMF,,,NOT DUPLEX,GRAYSCALE,143kb,
2026-04-07 15:32:37,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00701,A4,PCL6,,,DUPLEX,GRAYSCALE,291kb,
2026-04-07 15:32:55,ao.volkov,1,1,HP LaserJet Professional P1102,"Microsoft Outlook - Заметка",EKA-WS-GHM00178,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,125kb,
2026-04-07 15:32:55,darya.kalinina,2,1,Kyocera ECOSYS M8130cidn KX,"Договор поставки № 73-760_26 от 30.03.206 стр1-28.pdf",EKA-WS-UXM00355,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,3582kb,
2026-04-07 15:33:08,elena.chistyakova,1,2,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"Табличный документ",EKA-WS-UXM00205,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,209kb,
2026-04-07 15:33:51,rasima.shaislamova,2,1,HP LaserJet Professional P1102,"Табличный документ",EKA-WS-UXM00072,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,165kb,
2026-04-07 15:33:59,sergey.lekomtsev,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"ССЗ 08.04.2026 г. Лопарёв.pdf",EKA-WS-GHM00227,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,2526kb,
2026-04-07 15:34:40,nadezhda.ishchenko,2,1,HP LaserJet Professional P1102,"Untitled (005).pdf",EKA-WS-UXM00760,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,2255kb,
2026-04-07 15:34:40,tatyana.zhernakova,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00620,,XPS,279mm,216mm,NOT DUPLEX,GRAYSCALE,209kb,
2026-04-07 15:35:09,vadim.ledyankin,1,1,Kyocera ECOSYS M2040dn KX,"№53 С21 РД S10 SB-168 N06601 V2 по ОП724.xls",EKA-WS-UXM00578,A4,EMF,,,NOT DUPLEX,GRAYSCALE,186kb,
2026-04-07 15:35:11,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00701,A4,EMF,,,DUPLEX,GRAYSCALE,26kb,
2026-04-07 15:35:18,vadim.ledyankin,1,1,Kyocera ECOSYS M4125idn KX,"№53 С21 РД S10 SB-168 N06601 V2 по ОП724.xls",EKA-WS-UXM00578,A4,EMF,,,NOT DUPLEX,GRAYSCALE,186kb,
2026-04-07 15:35:35,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00701,A4,PCL6,,,DUPLEX,GRAYSCALE,280kb,
2026-04-07 15:35:42,tatyana.pishenina,2,1,Kyocera ECOSYS M2040dn KX,"Табличный документ",EKA-WS-UXM00583,A4,PCL6,,,DUPLEX,GRAYSCALE,259kb,
2026-04-07 15:35:48,tatyana.zhernakova,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00620,,XPS,279mm,216mm,NOT DUPLEX,GRAYSCALE,209kb,
2026-04-07 15:35:52,amarkin,1,1,RICOH MP W6700 PS,"KOMPAS - К0780.01.00.000 СБ изм.1.cdw",EKA-WS-UXM00390,A2,EMF,,,NOT DUPLEX,GRAYSCALE,642kb,
2026-04-07 15:36:04,vadim.ledyankin,1,1,Kyocera ECOSYS M4125idn KX,"№53 С21 РД S10 SB-168 N06601 V2 по ОП724.xls",EKA-WS-UXM00578,A4,EMF,,,NOT DUPLEX,GRAYSCALE,186kb,
2026-04-07 15:36:11,elena.bizhko,2,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,127kb,
2026-04-07 15:36:18,tatyana.pishenina,2,1,Kyocera ECOSYS M2040dn KX,"Табличный документ",EKA-WS-UXM00583,A4,PCL6,,,DUPLEX,GRAYSCALE,259kb,
2026-04-07 15:36:19,elena.bizhko,4,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,185kb,
2026-04-07 15:36:25,eduard.cheremnykh,18,1,Kyocera ECOSYS M2040dn KX,"Положение П 625-022-2025 Редакция 1, О ...асности работников АО «Уралхиммаш».pdf",EKA-WS-UXM00044,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,14264kb,
2026-04-07 15:36:31,e.krasnoperova,5,1,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"052он-Екат-Усть-Луга.pdf",EKA-WS-UXM00321,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,766kb,
2026-04-07 15:36:33,elena.bizhko,3,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,156kb,
2026-04-07 15:36:38,e.krasnoperova,5,1,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"387тв-Екат-Усть-Луга.pdf",EKA-WS-UXM00321,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,885kb,
2026-04-07 15:36:42,elena.bizhko,2,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,127kb,
2026-04-07 15:36:43,darya.kareva,1,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - Исх. от 07.04.2026 отключение ТК13.00",EKA-WS-HE00006,A4,PCL6,,,DUPLEX,GRAYSCALE,176kb,
2026-04-07 15:36:43,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"",EKA-WS-UXM00701,A4,EMF,,,DUPLEX,GRAYSCALE,11kb,
2026-04-07 15:36:51,anna.glebova,2,1,Kyocera ECOSYS M2040dn KX (1),"Табличный документ",EKA-WS-UXM00294,A4,EMF,,,NOT DUPLEX,GRAYSCALE,144kb,
2026-04-07 15:36:52,elena.bizhko,2,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,128kb,
2026-04-07 15:36:58,elena.bizhko,8,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,271kb,
2026-04-07 15:37:06,e.usmanova,1,1,Kyocera ECOSYS M2040dn KX,"Предприятие_ ОАО «Уралхиммаш», Производ...истовой заготовки и металлоконструкций",EKA-WS-UXM00701,A4,PCL6,,,DUPLEX,GRAYSCALE,246kb,
2026-04-07 15:37:07,elena.bizhko,1,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,43kb,
2026-04-07 15:37:10,elena.bizhko,2,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,128kb,
2026-04-07 15:37:18,tatyana.bebenina,1,1,Kyocera ECOSYS M2040dn KX,"ГСО ЛГ33д LAB 07.04.2026.xlsx",EKA-WS-UXM00048,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,38kb,
2026-04-07 15:37:25,elena.bizhko,1,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,42kb,
2026-04-07 15:37:28,elena.bizhko,8,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00120,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,269kb,
2026-04-07 15:37:37,oleg.glavatskikh,1,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - Бланк",EKA-WS-GHM00044,A4,EMF,,,NOT DUPLEX,GRAYSCALE,41kb,
2026-04-07 15:37:38,ei.petukhova,1,1,Kyocera ECOSYS M2635dn KX,"Microsoft Word - Акт выполненных работ Васильев А.А.",EKA-WS-UXM00080,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,46kb,
2026-04-07 15:37:49,anastasiya.arkanova,4,1,Kyocera ECOSYS M2040dn KX,"Договор ГПХ  Зуйков.pdf",EKA-WS-UXM00157,A4,PCL6,,,DUPLEX,GRAYSCALE,257kb,
2026-04-07 15:38:00,pavlina.glazyrina,2,1,Kyocera ECOSYS M2040dn KX,"НА 28.12.2024 г. Потребители Литер Е.xls",EKA-WS-HE00022,A4,EMF,,,DUPLEX,GRAYSCALE,121kb,
2026-04-07 15:38:06,olga.belozertseva,1,1,Kyocera ECOSYS M2040dn KX,"document",EKA-WS-UXM00652,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,40kb,
2026-04-07 15:38:43,mikhail.vitrichenko,1,1,HP LaserJet M1005,"подсб-ки.pdf",EKA-WS-GHM00184,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,5863kb,
2026-04-07 15:38:47,anastasiya.arkanova,4,1,Kyocera ECOSYS M2040dn KX,"Договор ГПХ  Вершинин А..pdf",EKA-WS-UXM00157,A4,PCL6,,,DUPLEX,GRAYSCALE,251kb,
2026-04-07 15:38:50,olga.tatsenko,1,1,HP LaserJet Pro M428-M429 PCL-6 (V4) (сеть),"Табличный документ",EKA-WS-UXM00423,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,207kb,
2026-04-07 15:39:34,s.petukhova,1,2,HP LaserJet M1530 MFP Series PCL 6,"Табличный документ",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,83kb,
2026-04-07 15:39:44,rasima.shaislamova,1,1,HP LaserJet Professional P1102,"0187МИ594-26 з.1817 ООН 220.pdf",EKA-WS-UXM00072,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,4956kb,
2026-04-07 15:39:48,e.krasnoperova,2,6,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"ТТН 005826 от 06.04.2026.xls",EKA-WS-UXM00321,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,423kb,
2026-04-07 15:39:51,l.blinova,10,1,Kyocera ECOSYS M2030dn KX,"Книга1",EKA-WS-UXM00369,A4,EMF,,,NOT DUPLEX,GRAYSCALE,155kb,
2026-04-07 15:39:52,a.lekhlyayder,2,1,HP LaserJet Professional M1214nfh MFP,"Инженер ОТК_Контролер ОТК",EKA-WS-GHM00213,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,627kb,
2026-04-07 15:40:00,rasima.shaislamova,1,1,HP LaserJet Professional P1102,"0188МИ594-26 з.1930 ООН 221.pdf",EKA-WS-UXM00072,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,4857kb,
2026-04-07 15:40:07,e.cheboksarova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Microsoft Word - ОБЛОЖКА ДЕЛА ШР",EKA-WS-UXM00308,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,68kb,
2026-04-07 15:40:41,pavel.privalov,2,1,Kyocera ECOSYS M5526cdw KX,"Microsoft Outlook - Заметка",EKA-WS-UXM00154,A4,EMF,,,DUPLEX,NOT GRAYSCALE,329kb,
2026-04-07 15:40:52,aa.konstantinova,1,1,Kyocera ECOSYS M4125idn KX,"doc00977420260407154132 (002).pdf",EKA-WS-HE00011,A4,PCL6,,,DUPLEX,GRAYSCALE,621kb,
2026-04-07 15:41:11,mikhail.vitrichenko,2,1,HP LaserJet M1005,"УХМ 1101.02.212.05П- 1 комплект ЖУВ  V-201.pdf",EKA-WS-GHM00184,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,5725kb,
2026-04-07 15:41:46,em.kiseleva,1,1,HP LaserJet M1530 MFP Series PCL 6,"Microsoft Word - Документ1",EKA-WS-UXM00535,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,14kb,
2026-04-07 15:41:46,n.lomovtseva,2,1,Kyocera ECOSYS M2040dn KX,"Повестка 07.04.2026.xlsx",EKA-WS-UXM00305,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,91kb,
2026-04-07 15:41:49,lidiya.tishchenko,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - все отпуска",EKA-WS-UXM00501,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,371kb,
2026-04-07 15:41:55,s.petukhova,1,2,HP LaserJet M1530 MFP Series PCL 6,"Табличный документ",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,99kb,
2026-04-07 15:42:07,kristina.loginova,1,1,Kyocera ECOSYS M2040dn KX,"Заявление на перенос отпуска.pdf",EKA-WS-UXM00089,A4,PCL6,,,DUPLEX,GRAYSCALE,37kb,
2026-04-07 15:42:09,alfred.zhanaliev,1,1,Kyocera ECOSYS M4125idn KX,"KOMPAS - Сборка основная.a3d",EKA-WS-UXM00223,A3,PCL6,,,NOT DUPLEX,GRAYSCALE,1278kb,
2026-04-07 15:42:19,ebykova,2,1,Kyocera ECOSYS M2040dn KX,"РСТ МЕТРОЛОГИЯ",EKA-WS-HE00016,A4,PCL6,,,DUPLEX,GRAYSCALE,347kb,
2026-04-07 15:42:20,s.petukhova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Требование-накладная №27( газы баллоны).pdf",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,4963kb,
2026-04-07 15:42:38,marina.gladysheva,1,1,Kyocera TASKalfa 2553ci KX,"Заказ 2028.167 комплект 1.xlsx",EKA-WS-UXM00288,A4,EMF,,,NOT DUPLEX,GRAYSCALE,100kb,
2026-04-07 15:42:41,olga.berezkina,1,1,Kyocera ECOSYS M2040dn KX,"Договор поставки № 73-760_26 от 30.03.206 стр1-28.pdf",EKA-WS-UXM00464,A4,PCL6,,,DUPLEX,GRAYSCALE,2004kb,
2026-04-07 15:42:44,s.petukhova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Смесь ц. 11.pdf",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1415kb,
2026-04-07 15:42:50,lidiya.tishchenko,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"80f19ade-0353-49df-8618-bf65a1577a0f.pdf",EKA-WS-UXM00501,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,489kb,
2026-04-07 15:43:00,rafael.mirsalimov,8,1,Kyocera ECOSYS M5526cdw KX,"План ТВ цех №40 апрель 2026.pdf",EKA-WS-UXM00167,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,5687kb,
2026-04-07 15:43:07,alfred.zhanaliev,1,1,Kyocera ECOSYS M4125idn KX,"KOMPAS - Сборка основная.a3d",EKA-WS-UXM00223,A3,PCL6,,,NOT DUPLEX,GRAYSCALE,1278kb,
2026-04-07 15:43:07,arseniy.shmatko,1,1,HP LaserJet Pro M428-M429 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00449,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,367kb,
2026-04-07 15:43:07,s.petukhova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Кислород ц. 23.pdf",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,2029kb,
2026-04-07 15:43:10,e.krasnoperova,2,5,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"ТН Велесстрой Богданов от 06.04.2026 2 комплект.xls",EKA-WS-UXM00321,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,428kb,
2026-04-07 15:43:12,s.petukhova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Кислород ц. 40.pdf",EKA-WS-UXM00507,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1701kb,
2026-04-07 15:43:14,zagir.sardarov,1,1,Kyocera ECOSYS M2040dn KX,"doc00340220260210102426.pdf",EKA-WS-UXM00509,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,887kb,
2026-04-07 15:43:37,irina.anoshkina,4,1,HP LaserJet Pro M428-M429 PCL-6 (V4),"План технологической подготовки производства №4 на апрель 2026г.pdf",EKA-WS-UXM00465,,XPS,356mm,216mm,DUPLEX,GRAYSCALE,38486kb,
2026-04-07 15:43:52,em.kiseleva,1,1,HP LaserJet M1530 MFP Series PCL 6,"Microsoft Word - Документ1",EKA-WS-UXM00535,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,14kb,
2026-04-07 15:44:16,pavel.borisov,1,2,HP LaserJet M1530 MFP Series PCL 6,"телефоны актуальные.pdf",EKA-WS-UXM00623,A3,EMF,,,DUPLEX,GRAYSCALE,23610kb,
2026-04-07 15:44:20,kirill.markvart,1,1,Kyocera ECOSYS M2040dn KX (1),"телефоны актуальные.pdf",EKA-WS-UXM00236,A3,EMF,,,NOT DUPLEX,NOT GRAYSCALE,8618kb,
2026-04-07 15:44:26,mikhail.vitrichenko,1,1,HP LaserJet M1005,"Microsoft Outlook - Заметка",EKA-WS-GHM00184,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,114kb,
2026-04-07 15:44:30,l.blinova,10,1,Kyocera ECOSYS M2030dn KX,"Книга1",EKA-WS-UXM00369,A4,EMF,,,NOT DUPLEX,GRAYSCALE,149kb,
